Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Fri Sep  9 13:49:27 2016
Invocation: foremost fundelete.fat 
Output directory: /root/cyberstakes/for/output
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: fundelete.fat
Start: Fri Sep  9 13:49:27 2016
Length: 10 MB (10485760 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 

0:	00000081.jpg 	       5 KB 	      41472 	 
1:	00000093.jpg 	       6 KB 	      47616 	 
2:	00000109.jpg 	       5 KB 	      55808 	 
3:	00000121.jpg 	       6 KB 	      61952 	 
4:	00000137.jpg 	       6 KB 	      70144 	 
5:	00000153.jpg 	       5 KB 	      78336 	 
6:	00000165.jpg 	       5 KB 	      84480 	 
7:	00000177.jpg 	       5 KB 	      90624 	 
8:	00000189.jpg 	       5 KB 	      96768 	 
9:	00000201.jpg 	       5 KB 	     102912 	 
10:	00000213.jpg 	       5 KB 	     109056 	 
11:	00000225.jpg 	       5 KB 	     115200 	 
12:	00000237.jpg 	       6 KB 	     121344 	 
13:	00000253.jpg 	       6 KB 	     129536 	 
14:	00000269.jpg 	       5 KB 	     137728 	 
15:	00000281.jpg 	       5 KB 	     143872 	 
16:	00000293.jpg 	       5 KB 	     150016 	 
17:	00000305.jpg 	       5 KB 	     156160 	 
18:	00000317.jpg 	       6 KB 	     162304 	 
19:	00000333.jpg 	       6 KB 	     170496 	 
20:	00000349.jpg 	       6 KB 	     178688 	 
21:	00000365.jpg 	       5 KB 	     186880 	 
22:	00000377.jpg 	       5 KB 	     193024 	 
23:	00000389.jpg 	       5 KB 	     199168 	 
24:	00000401.jpg 	       6 KB 	     205312 	 
25:	00000417.jpg 	       5 KB 	     213504 	 
26:	00000429.jpg 	       5 KB 	     219648 	 
27:	00000441.jpg 	       5 KB 	     225792 	 
28:	00000453.jpg 	       5 KB 	     231936 	 
29:	00000465.jpg 	       6 KB 	     238080 	 
30:	00000481.jpg 	       6 KB 	     246272 	 
31:	00000501.jpg 	       5 KB 	     256512 	 
32:	00000513.jpg 	       5 KB 	     262656 	 
33:	00000525.jpg 	       5 KB 	     268800 	 
34:	00000537.jpg 	       5 KB 	     274944 	 
35:	00000549.jpg 	       5 KB 	     281088 	 
36:	00000561.jpg 	       5 KB 	     287232 	 
37:	00000573.jpg 	       5 KB 	     293376 	 
38:	00000585.jpg 	       5 KB 	     299520 	 
39:	00000597.jpg 	       5 KB 	     305664 	 
40:	00000609.jpg 	       5 KB 	     311808 	 
41:	00000621.jpg 	       5 KB 	     317952 	 
42:	00000633.jpg 	       5 KB 	     324096 	 
43:	00000645.jpg 	       5 KB 	     330240 	 
44:	00000657.jpg 	       5 KB 	     336384 	 
45:	00000669.jpg 	       6 KB 	     342528 	 
46:	00000685.jpg 	       5 KB 	     350720 	 
47:	00000697.jpg 	       6 KB 	     356864 	 
